cve_id,cvss_score,severity_calculated,severity_from_database
CVE-2016-0987,8.8,HIGH,HIGH
CVE-2015-0533,7.5,HIGH,HIGH
CVE-2016-0128,6.8,MEDIUM,MEDIUM
CVE-2012-0381,7.5,HIGH,HIGH
CVE-2009-2272,7.5,HIGH,HIGH
CVE-2004-1995,6.5,MEDIUM,MEDIUM
CVE-2016-1283,9.8,CRITICAL,CRITICAL
CVE-2014-0160,7.5,HIGH,HIGH
CVE-2008-3939,7.5,HIGH,HIGH
CVE-2014-8559,5.5,MEDIUM,MEDIUM
CVE-2007-4039,9.8,CRITICAL,CRITICAL
CVE-2016-0999,8.8,HIGH,HIGH
CVE-2013-3129,7.8,HIGH,HIGH
CVE-2015-8866,9.6,CRITICAL,CRITICAL
CVE-2016-3710,8.8,HIGH,HIGH
CVE-2014-0780,9.8,CRITICAL,CRITICAL
CVE-2016-2324,9.8,CRITICAL,CRITICAL
CVE-2012-1723,9.8,CRITICAL,CRITICAL
CVE-2016-5106,6.0,MEDIUM,MEDIUM
CVE-2010-3962,8.1,HIGH,HIGH
CVE-2016-3714,8.4,HIGH,HIGH
CVE-2002-0844,7.8,HIGH,HIGH
CVE-2016-9776,5.5,MEDIUM,MEDIUM
CVE-2006-1078,8.4,HIGH,HIGH
CVE-2010-0048,8.8,HIGH,HIGH
CVE-2010-4042,9.8,CRITICAL,CRITICAL
CVE-2015-3193,7.5,HIGH,HIGH
CVE-2007-5928,8.1,HIGH,HIGH
CVE-2015-1130,7.8,HIGH,HIGH
CVE-2016-4183,8.8,HIGH,HIGH
